base	target	same_origin	tok_pd	tok_ag	emb_pd	emb_ag
Llama-2-7b	Llama-3.1-8B-ExtraMix	N	-0.0015	0.0143	0.1490	0.0157
Llama-2-7b	Llama-3.1-8B-Fireplace2	N	-0.0029	-0.0032	0.1482	0.0189
Llama-2-7b	Llama-3.1-8B-Instruct	N	-0.0014	0.0182	0.1494	0.0156
Llama-2-7b	Llama-3.1-8B-Instruct-4bit	N	-0.0014	0.0098	0.1463	0.0131
Llama-2-7b	Llama-3.1-8B-Instruct-8bit	N	-0.0013	0.0184	0.1494	0.0161
Llama-2-7b	Llama-3.1-8B-Instruct-Abliterated	N	-0.0038	0.0098	0.1599	0.0225
Llama-2-7b	Llama-3.1-8B-Instruct-HalfAbliterated-TIES	N	-0.0014	0.0135	0.1555	0.0208
Llama-2-7b	Llama-3.1-8B-Instruct-Open-R1-Distill	N	-0.0017	0.0002	0.1487	0.0146
Llama-2-7b	Llama-3.1-8B-Instruct-PsyCourse-fold7	N	-0.0016	0.0157	0.1494	0.0155
Llama-2-7b	Llama-3.1-8B-Instruct-cv-job-description-matching	N	-0.0018	0.0096	0.1495	0.0156
Llama-2-7b	Llama-3.1-8B-TLDR	N	-0.0014	0.0070	0.1472	0.0157
Llama-2-7b	Mistral-7B-distilled-from-deepseek-r1-qwen32b	N	0.0011	-0.0264	0.1688	0.0303
Llama-2-7b	Mistral-7B-v0.3	N	0.0024	-0.0117	0.1688	0.0303
Llama-2-7b	Mistral-7B-v0.3-Brain	N	-0.0006	-0.0250	0.1688	0.0304
Llama-2-7b	Mistral-7B-v0.3-Instruct	N	-0.0001	-0.0315	0.1688	0.0303
Llama-2-7b	Mistral-7B-v0.3-Instruct-GPTQ-4bit	N	0.0010	-0.0287	0.1685	0.0310
Llama-2-7b	Mistral-7B-v0.3-Instruct-demi-merge	N	0.0014	-0.0221	0.1688	0.0305
Llama-2-7b	Mistral-7B-v0.3-Spellcheck	N	0.0000	-0.0418	0.1689	0.0304
Llama-2-7b	coma-7B-v0.1	Y	0.4500	0.0767	0.2898	0.0012
Llama-2-7b	llama-2-7b-logit-watermark-distill-kgw-k1-gamma0.25-delta2	Y	0.7758	0.5116	0.8411	0.6979
Llama-2-7b	llama2-Better-Tune	Y	0.5290	0.2623	0.5983	0.4430
Llama-2-7b	tulu-2-7b	Y	0.6609	0.5567	0.6646	0.5410
